Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Egypt,EGY,2.08455E+11,3.98819E+11,8.18754E+11,9.5866E+11,9.92022E+11,9.85262E+11,1.06424E+12,1.05709E+12,1.06227E+12,1.14597E+12,1.23315E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,El Salvador,SLV,15366924796,26187438495,40156356629,40803577136,43092741449,45533880987,48056303343,51094653386,54005555165,56665966367,59142593412,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Equatorial Guinea,GNQ,274120341.2,5223898643,33829572382,38742501085,37422586821,37816353966,28095292742,24861119032,28459489607,27299714816,26277981474,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eritrea,ERI,..,3504145057,5224331270,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Estonia,EST,..,13184474181,32890578577,34642139242,36432843820,38300195487,38658832174,41548791416,44744044036,49538780936,53045342275,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eswatini,SWZ,2893709642,4747618881,8637941299,8922130160,9465059127,9632880508,9728496264,9698248002,9457434168,9917574661,10337032575,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ethiopia,ETH,19874593252,31978926213,1.02289E+11,1.12533E+11,1.22434E+11,1.48486E+11,1.67119E+11,1.94651E+11,2.15094E+11,2.35352E+11,2.5999E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Fiji,FJI,3060644161,4733630525,7134734867,7646755789,8254663160,9831527181,10781765043,11020155973,11783674116,12530937582,12717393219,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Finland,FIN,90265848549,1.38704E+11,2.20471E+11,2.21286E+11,2.2568E+11,2.28059E+11,2.32867E+11,2.46928E+11,2.62436E+11,2.83048E+11,2.93524E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,France,FRA,1.02547E+12,1.58994E+12,2.44648E+12,2.474E+12,2.60852E+12,2.66203E+12,2.7185E+12,2.86411E+12,2.99254E+12,3.22348E+12,3.41958E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gabon,GAB,11769492035,17015659146,26345487004,26868451929,27463881945,28955844877,28630139365,28684983156,30986311651,32008701020,33917539948,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gambia,GMB,1487913576,2521797590,4095033765,4190620610,4165986164,4102796585,4311179262,4446016237,4588632823,5040481660,5449583787,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Georgia,GEO,27519829491,12657517074,31404963201,36640112635,39451053058,43054252353,45035492645,47930061167,50662483514,54423954244,58245087399,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Germany,DEU,1.54227E+12,2.23705E+12,3.41502E+12,3.48723E+12,3.62856E+12,3.80711E+12,3.88908E+12,4.16517E+12,4.3909E+12,4.69985E+12,4.78266E+12,..
